episodes,scores,steps_survived
1.0,2.0,210.0
2.0,0.0,141.0
3.0,1.0,197.0
4.0,0.0,135.0
5.0,0.0,132.0
6.0,6.0,340.0
7.0,3.0,247.0
8.0,3.0,235.0
9.0,5.0,361.0
10.0,4.0,320.0
11.0,2.0,221.0
12.0,1.0,153.0
13.0,3.0,257.0
14.0,2.0,217.0
15.0,0.0,169.0
16.0,4.0,302.0
17.0,1.0,225.0
18.0,2.0,229.0
19.0,1.0,231.0
20.0,0.0,173.0
21.0,0.0,151.0
22.0,3.0,261.0
23.0,1.0,235.0
24.0,2.0,201.0
25.0,2.0,194.0
26.0,1.0,192.0
27.0,3.0,232.0
28.0,1.0,165.0
29.0,1.0,161.0
30.0,1.0,178.0
31.0,1.0,158.0
32.0,4.0,296.0
33.0,2.0,217.0
34.0,1.0,177.0
35.0,1.0,168.0
36.0,2.0,210.0
37.0,1.0,195.0
38.0,3.0,265.0
39.0,4.0,272.0
40.0,2.0,199.0
41.0,5.0,333.0
42.0,2.0,235.0
43.0,3.0,272.0
44.0,2.0,229.0
45.0,3.0,240.0
46.0,1.0,186.0
47.0,1.0,157.0
48.0,1.0,180.0
49.0,1.0,188.0
50.0,8.0,282.0
51.0,3.0,258.0
52.0,3.0,219.0
53.0,2.0,229.0
54.0,4.0,295.0
55.0,0.0,130.0
56.0,1.0,175.0
57.0,3.0,296.0
58.0,3.0,231.0
59.0,0.0,134.0
60.0,3.0,237.0
61.0,1.0,190.0
62.0,1.0,169.0
63.0,2.0,195.0
64.0,2.0,252.0
65.0,2.0,236.0
66.0,1.0,181.0
67.0,1.0,154.0
68.0,4.0,275.0
69.0,3.0,246.0
70.0,2.0,263.0
71.0,1.0,158.0
72.0,2.0,227.0
73.0,3.0,285.0
74.0,3.0,285.0
75.0,2.0,192.0
76.0,1.0,177.0
77.0,0.0,166.0
78.0,3.0,267.0
79.0,2.0,196.0
80.0,3.0,264.0
81.0,5.0,367.0
82.0,4.0,339.0
83.0,0.0,146.0
84.0,2.0,260.0
85.0,1.0,196.0
86.0,3.0,242.0
87.0,1.0,218.0
88.0,1.0,184.0
89.0,2.0,246.0
90.0,2.0,204.0
