episode,score,steps_survived
0.0,0.0,0.0
1.0,-21.0,824.0
2.0,-21.0,826.0
3.0,-20.0,903.0
4.0,-20.0,842.0
5.0,-21.0,764.0
6.0,-21.0,764.0
7.0,-21.0,826.0
8.0,-21.0,824.0
9.0,-20.0,838.0
10.0,-21.0,824.0
11.0,-21.0,824.0
12.0,-21.0,824.0
13.0,-21.0,824.0
14.0,-21.0,783.0
15.0,-21.0,824.0
16.0,-21.0,824.0
17.0,-21.0,825.0
18.0,-21.0,764.0
19.0,-21.0,764.0
20.0,-21.0,764.0
21.0,-21.0,826.0
22.0,-21.0,826.0
23.0,-21.0,824.0
24.0,-21.0,764.0
25.0,-21.0,764.0
26.0,-21.0,826.0
27.0,-21.0,826.0
28.0,-21.0,824.0
29.0,-21.0,764.0
30.0,-21.0,783.0
31.0,-21.0,764.0
32.0,-21.0,764.0
33.0,-21.0,764.0
34.0,-21.0,764.0
35.0,-21.0,826.0
36.0,-21.0,826.0
37.0,-21.0,764.0
38.0,-21.0,764.0
39.0,-21.0,824.0
40.0,-21.0,824.0
41.0,-21.0,824.0
42.0,-21.0,824.0
43.0,-21.0,826.0
