episode,score,steps_survived
0.0,0.0,0.0
1.0,180.0,651.0
2.0,155.0,920.0
3.0,450.0,1555.0
4.0,75.0,687.0
5.0,85.0,788.0
6.0,30.0,667.0
7.0,30.0,593.0
8.0,30.0,619.0
9.0,105.0,639.0
10.0,105.0,703.0
11.0,190.0,809.0
12.0,15.0,661.0
13.0,15.0,633.0
14.0,120.0,799.0
15.0,35.0,774.0
16.0,120.0,801.0
17.0,75.0,700.0
18.0,155.0,827.0
19.0,30.0,709.0
20.0,110.0,790.0
21.0,65.0,642.0
22.0,50.0,673.0
23.0,30.0,633.0
24.0,65.0,644.0
25.0,60.0,621.0
26.0,105.0,825.0
27.0,105.0,693.0
28.0,50.0,625.0
29.0,40.0,661.0
30.0,135.0,1274.0
31.0,30.0,642.0
32.0,105.0,679.0
33.0,15.0,630.0
34.0,30.0,629.0
35.0,160.0,1075.0
36.0,80.0,669.0
37.0,30.0,629.0
38.0,35.0,645.0
39.0,105.0,655.0
40.0,80.0,643.0
